MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Neighborhood_nan,CentralAir_N,CentralAir_Y,CentralAir_nan,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleType_nan
60,3,65.0,8450,1,3,4,7,5,2003,2003,196.0,2,4,2,2,3,3,706,0,150,856,1,856,854,0,1710,1,0,2,1,3,1,2,8,0,5,2003.0,1,2,548,4,0,61,0,0,0,0,0,2,2008,4,208500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,80.0,9600,1,3,2,6,8,1976,1976,0.0,3,4,1,2,3,1,978,0,284,1262,1,1262,0,0,1262,0,1,2,0,3,1,3,6,1,4,1976.0,1,2,460,4,298,0,0,0,0,0,0,5,2007,4,181500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,68.0,11250,1,0,4,7,5,2001,2002,162.0,2,4,2,2,3,2,486,0,434,920,1,920,866,0,1786,1,0,2,1,3,1,2,6,1,4,2001.0,1,2,608,4,0,42,0,0,0,0,0,9,2008,4,223500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
70,3,60.0,9550,1,0,0,7,5,1915,1970,0.0,3,4,0,3,1,3,216,0,540,756,1,961,756,0,1717,1,0,1,0,3,1,2,7,1,2,1998.0,2,3,642,4,0,35,272,0,0,0,0,2,2006,0,140000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,84.0,14260,1,0,2,8,5,2000,2000,350.0,2,4,2,2,3,0,655,0,490,1145,1,1145,1053,0,2198,1,0,2,1,4,1,2,9,1,4,2000.0,1,3,836,4,192,84,0,0,0,0,0,12,2008,4,250000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
50,3,85.0,14115,1,0,4,5,5,1993,1995,0.0,3,4,5,2,3,3,732,0,64,796,1,796,566,0,1362,1,0,1,1,1,1,3,5,0,5,1993.0,2,2,480,4,40,30,0,320,0,0,700,10,2009,4,143000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,75.0,10084,1,3,4,8,5,2004,2005,186.0,2,4,2,0,3,0,1369,0,317,1686,1,1694,0,0,1694,1,0,2,0,3,1,2,7,1,2,2004.0,1,2,636,4,255,57,0,0,0,0,0,8,2007,4,307000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,69.0,10382,1,0,0,7,6,1973,1973,240.0,3,4,1,2,3,2,859,32,216,1107,1,1107,983,0,2090,1,0,2,1,3,1,3,7,2,4,1973.0,1,2,484,4,235,204,228,0,0,0,350,11,2009,4,200000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
50,4,51.0,6120,1,3,4,7,5,1931,1950,0.0,3,4,0,3,3,3,0,0,952,952,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,4,1931.0,2,2,468,1,90,0,205,0,0,0,0,4,2008,0,129900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
190,3,50.0,7420,1,3,0,5,6,1939,1950,0.0,3,4,0,3,3,3,851,0,140,991,1,1077,0,0,1077,1,0,1,0,2,2,3,5,2,4,1939.0,1,1,205,2,0,4,0,0,0,0,0,1,2008,4,118000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,70.0,11200,1,3,4,5,5,1965,1965,0.0,3,4,1,3,3,3,906,0,134,1040,1,1040,0,0,1040,1,0,1,0,3,1,3,5,0,5,1965.0,2,1,384,4,0,0,0,0,0,0,0,2,2008,4,129500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
